117 54
0 1 46 
0 6 93 
1 6 17 
1 7 71 
1 8 34 
2 3 36 
2 9 86 
3 9 97 
4 10 76 
4 11 71 
4 15 10 
4 21 38 
5 11 18 
5 16 51 
6 7 95 
7 8 3 
7 12 19 
7 17 73 
8 9 61 
8 12 29 
8 19 36 
9 13 80 
9 19 93 
10 13 62 
10 14 55 
10 20 99 
11 15 55 
11 16 16 
12 17 30 
12 18 82 
12 19 93 
13 19 43 
13 20 8 
14 20 24 
14 21 70 
15 16 27 
15 21 54 
15 24 93 
15 25 38 
15 26 10 
16 22 6 
16 24 62 
18 19 42 
18 28 94 
18 29 80 
19 20 33 
19 28 20 
20 21 31 
20 27 40 
20 28 16 
21 26 59 
21 27 47 
22 23 33 
22 24 55 
23 24 80 
25 26 12 
25 35 98 
25 36 91 
26 27 97 
26 35 3 
27 28 26 
27 34 39 
27 35 88 
27 43 18 
28 29 35 
28 33 83 
28 34 36 
29 30 76 
29 32 72 
29 46 75 
30 31 22 
30 32 87 
30 47 62 
31 47 52 
32 46 1 
32 47 7 
32 48 75 
33 34 57 
33 44 82 
33 45 25 
33 46 13 
34 43 19 
34 44 78 
35 36 5 
35 37 33 
35 43 83 
36 37 59 
36 39 88 
37 39 39 
37 40 17 
37 43 39 
38 39 16 
38 42 91 
39 40 10 
39 42 23 
40 41 3 
40 43 76 
41 43 34 
41 50 47 
43 44 20 
43 50 64 
44 45 47 
44 50 26 
45 46 92 
45 49 82 
45 50 60 
45 53 9
46 48 42
46 49 23
47 48 52
48 49 17
48 51 90
48 52 33
49 52 44
49 53 55
50 53 28
51 52 52
